product_id,order_dow,order_hour_of_day,product_name,count
6808,0,16,Organic Spinach & Cheese Tortellini,1
8112,0,16,Almond Mozzarella Style Cheese Alternative,1
10807,0,16,Wild Arugula Salad,1
11777,0,16,Red Raspberries,1
13870,0,16,Lightly Salted Baked Snap Pea Crisps,1
13988,0,16,Snow Peas,1
18761,0,16,Balsamic Vinegar Of Modena,1
21616,0,16,Organic Baby Arugula,1
24535,0,16,Plain Whole Milk Yogurt,1
26604,0,16,Organic Blackberries,1
2099,0,15,Natural Cane Turbinado Sugar,1
3098,0,15,Lavender Dish Soap,1
3957,0,15,100% Raw Coconut Water,1
7054,0,15,Low Fat Plain Yogurt,1
12204,0,15,Vegetable Medley,1
15604,0,15,Fat Free Plain Yogurt,1
21783,0,15,Coconut Milk Vanilla Mini Sandwiches,1
49267,0,15,Vegetable Broth Low Sodium,1
4957,0,14,Total 2% Lowfat Greek Strained Yogurt With Blueberry,1
8834,0,14,Raspberry Lime Sparkling Seltzer Water,1
14197,0,14,Tomato Paste,1
15872,0,14,Celery Hearts,1
17948,0,14,Frozen Organic Wild Blueberries,1
18926,0,14,Fat Free Strawberry Yogurt,1
21137,0,14,Organic Strawberries,1
21405,0,14,"Organic Red Radish, Bunch",1
21616,0,14,Organic Baby Arugula,1
24341,0,14,Organic & Cold-Pressed Vegetable & Fruit Juice Vitality,1
4605,0,11,Yellow Onions,1
5134,0,11,Organic Thompson Seedless Raisins,1
7054,0,11,Low Fat Plain Yogurt,1
15604,0,11,Fat Free Plain Yogurt,1
21137,0,11,Organic Strawberries,1
35547,0,11,Organic Baby Kale,1
38273,0,11,Marinara Pasta Sauce,1
49248,0,11,Organic Farro,1
3108,0,10,Original Lowfat Lemon Burst Yogurt,1
3873,0,10,Mountain Spring Water,1
3919,0,10,Hearty Grains 100% Whole Wheat English Muffins,1
7883,0,10,Jumbo Cotton Balls,1
23106,0,10,Pomegranate on the Bottom Non-Fat Greek Yogurt,1
28199,0,10,"Clementines, Bag",1
33819,0,10,Original French Vanilla Yogurt,1
42372,0,10,Pineapple on the Bottom Greek Yogurt,1
42959,0,10,Jet-Dry Original Rinse Aid,1
